STADTTEIL	 HALTESTELLE	RECHTSWERT	HOCHWERT	HOMEPAGE	FAHRPLAN
Hiltrup	 Böttcherstraße	405317	5751424	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Mauritz-Ost	Laerer Landweg	408615	5756552	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Handorf	 Nieland,  Dorbaum	411561	5761907	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Roxel	 Schulte-Hermann-Straße	399210	5756857	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Düesberg	Gottfried-v.-Cappenberg-Schule	404494	5754463	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Gremmendorf	 Starweg	409497	5754055	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Sprakel	 Dreilinden	405162	5766213	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Angelmodde	 Am Schütthook	409894	5752453	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Primus-Schule	 Berg Fidel	404931	5753566	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Handorf	 Pröbstingstraße	410624	5760299	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Wolbeck	 Hiltruper Straße	412190	5752162	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Mecklenbeck	 Am Hof Hesselmann	402226	5754309	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Albachten	 Marktplatz	398384	5753597	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Amelsbüren	 Auf der Woort	403976	5748965	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Berg Fidel	 Ter-Borch-Straße (Taxenbucht)	405085	5753788	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Nienberge	 Annette-von-Droste-Hülshoff-Schule	401130	5761627	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Mauritz	Erich-Kästner-Schule	407517	5758887	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Gelmer	 Westerheide	409080	5765165	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Albachten	 Ludgerusschule	398866	5753478	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Angelmodde	 Eichendorffschule	410226	5752481	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Gremmendorf	 Josef-Suwelack-Weg	408547	5753775	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
Mecklenbeck	 Meyerbeerstraße	401953	5753753	https://www.stadt-muenster.de/de/buecherei/buecherbus.html	https://www.stadt-muenster.de/buecherei/buecherbusfahrplan.html
