Name	Schulart	Adresse	Stadtteil	Breitengrad	Längengrad	Klasse 1 (gesamt)
Annette-von-Droste-Hülshoff-Gymnasium	Gymnasium	Grüne Gasse 40, 48143 Münster	Altstadt	51.95831	7.62367	1191
Freiherr-vom-Stein-Gymnasium	Gymnasium	Dieckmannstraße 141, 48161 Münster	Roxel	51.96207	7.56846	960
Geschwister-Scholl-Gymnasium	Gymnasium	Von-Humboldt-Straße 14, 48159 Münster	Kinderhaus	51.99894	7.60539	648
Gymnasium Paulinum	Gymnasium	Am Stadtgraben 30, 48143 Münster	Altstadt	51.95956	7.61945	905
Gymnasium St. Mauritz	Gymnasium	Wersebeckmannweg 81, 48155 Münster	Mauritz	51.98324	7.68587	773
Gymnasium Wolbeck	Gymnasium	Von-Holte-Straße 56, 48167 Münster	Wolbeck	51.91495	7.71847	960
Immanuel-Kant-Gymnasium Hiltrup	Gymnasium	Westfalenstraße 203, 48165 Münster	Hiltrup	51.90094	7.64151	713
Johann-Conrad-Schlaun-Gymnasium	Gymnasium	Sonnenstraße 18, 48143 Münster	Altstadt	51.96303	7.63346	541
Kardinal-von-Galen-Gymnasium	Gymnasium	Zum Roten Berge 25, 48165 Münster	Hiltrup	51.89964	7.64345	1040
Marienschule, Gymnasium für Mädchen	Gymnasium	Hermannstraße 21, 48151 Münster	Geist	51.95452	7.62356	905
Pascal-Gymnasium	Gymnasium	Uppenkampstiege 17, 48147 Münster	Wienburg	51.97633	7.62593	879
Ratsgymnasium	Gymnasium	Bohlweg 7, 48147 Münster	Mitte	51.96679	7.63821	688
Schillergymnasium	Gymnasium	Gertrudenstraße 5, 48149 Münster	Kreuzvirtel	51.96878	7.62076	796
Wilhelm-Hittorf-Gymnasium	Gymnasium	Prinz-Eugen-Straße 27, 48151 Münster	Geist	51.94729	7.61916	933
